signal_strength,network_load,user_speed,call_duration,tower_distance,packet_loss,dropped_call,signal_quality,mobility_level,load_category,call_risk_score
-69,43,85,582,8.7,2.39,0,Good,High,Medium,61.8
-106,79,20,318,8.7,0.31,1,Poor,Medium,High,66.5
-60,54,99,547,0.73,3.15,0,Good,High,Medium,71.1
-100,67,119,484,8.48,0.39,1,Poor,High,Medium,60.7
-97,60,1,561,6.11,0.88,1,Poor,Low,Medium,61.89999999999999
-118,43,46,353,3.87,1.29,1,Poor,Medium,Medium,65.5
-99,53,107,145,0.66,3.74,1,Poor,High,Medium,88.30000000000001
-68,24,29,286,6.81,0.82,0,Good,Medium,Low,38.2
-119,87,26,542,3.35,4.23,1,Poor,Medium,High,112.80000000000001
-91,79,70,40,4.73,0.66,0,Moderate,High,High,65.5
-83,59,19,256,6.85,0.18,0,Moderate,Low,Medium,50.3
-119,41,49,420,9.13,1.98,1,Poor,Medium,Medium,71.9
-57,76,94,36,8.27,4.9,1,Good,High,High,96.5
-61,12,22,82,4.56,0.55,0,Good,Medium,Low,28.6
-100,95,12,106,3.94,0.51,1,Poor,Low,High,73.1
-88,95,80,355,2.47,3.76,1,Moderate,High,High,102.0
-63,83,3,485,3.79,1.56,1,Good,Low,High,67.7
-99,60,13,309,1.2,3.59,1,Poor,Low,Medium,89.6
-72,76,19,308,9.71,1.0,0,Good,Low,High,62.0
-62,85,12,296,5.78,2.3,1,Good,Low,High,75.6
-79,57,2,458,1.37,1.33,0,Moderate,Low,Medium,59.8
-61,26,89,221,3.59,2.26,0,Good,High,Low,51.3
-106,16,89,85,5.52,3.85,1,Poor,High,Low,76.69999999999999
-59,22,81,410,5.38,3.81,1,Good,High,Low,64.60000000000001
-59,75,95,43,0.45,2.58,0,Good,High,High,73.5
-74,13,77,507,9.51,4.64,1,Good,High,Low,73.8
-59,19,46,525,2.83,1.32,0,Good,Medium,Low,38.5
-70,97,2,337,0.26,1.2,1,Good,Low,High,71.80000000000001
-66,26,0,107,0.86,3.07,0,Good,Low,Low,60.900000000000006
-57,61,89,375,5.84,3.11,0,Good,High,Medium,72.6
-118,15,23,472,1.46,0.23,1,Poor,Medium,Low,43.7
-70,92,112,37,0.51,3.04,1,Good,High,High,88.2
-114,78,34,395,3.86,1.87,1,Poor,Medium,High,84.1
-100,83,13,282,6.27,3.74,1,Poor,Low,High,100.60000000000001
-82,18,66,136,1.21,4.04,1,Moderate,High,Low,72.2
-103,86,12,211,3.2,2.76,1,Poor,Low,High,92.9
-117,92,46,530,4.24,0.01,1,Poor,Medium,High,72.0
-61,30,49,296,1.68,3.18,0,Good,Medium,Low,62.099999999999994
-107,33,77,459,5.11,3.74,1,Poor,High,Low,82.70000000000002
-112,13,84,97,0.94,1.24,1,Poor,High,Low,51.2
-68,33,25,327,0.56,2.32,0,Good,Medium,Low,56.8
-119,68,2,28,5.25,4.83,1,Poor,Low,Medium,111.19999999999999
-61,12,50,116,2.55,1.49,0,Good,Medium,Low,38.0
-77,77,39,467,1.04,1.12,0,Moderate,Medium,High,65.1
-113,49,67,320,4.3,1.05,1,Poor,High,Medium,64.0
-74,57,35,421,9.16,2.79,0,Good,Medium,Medium,72.9
-86,63,50,507,7.27,4.75,1,Moderate,Medium,Medium,98.5
-85,44,106,253,8.17,,0,Moderate,High,Medium,67.71438888888889
-71,65,0,586,8.73,,0,Good,Low,Medium,71.9143888888889
-117,98,103,389,9.73,3.19,1,Poor,High,High,106.19999999999999
-119,49,110,524,7.66,3.12,1,Poor,High,Medium,86.5
-115,86,32,216,6.12,2.98,1,Poor,Medium,High,98.7
-67,77,6,403,3.72,0.8,0,Good,Low,High,58.89999999999999
-117,55,116,30,1.9,,1,Poor,High,Medium,81.71438888888889
-67,87,115,536,6.9,2.15,1,Good,High,High,76.4
-58,22,51,352,9.95,0.09,0,Good,Medium,Low,27.1
-103,36,119,211,4.73,2.7,1,Poor,High,Low,72.3
-77,15,10,129,7.26,4.95,1,Moderate,Low,Low,78.6
-87,26,26,398,5.0,1.75,0,Moderate,Medium,Low,54.0
-59,45,13,546,4.38,4.83,1,Good,Low,Medium,84.0
-107,90,85,243,4.16,0.48,1,Poor,High,High,72.9
-73,11,79,329,5.1,3.66,1,Good,High,Low,62.9
-106,86,45,189,3.73,0.57,1,Poor,Medium,High,71.89999999999999
-59,61,75,377,7.51,1.37,0,Good,High,Medium,55.8
-81,75,112,85,8.76,2.85,0,Moderate,High,High,82.8
-68,61,109,505,8.84,2.96,0,Good,High,Medium,74.4
-97,52,9,531,2.35,3.88,1,Poor,Low,Medium,88.69999999999999
-95,99,23,210,8.97,3.08,1,Moderate,Medium,High,98.9
-61,31,60,355,3.48,2.97,0,Good,High,Low,60.400000000000006
-80,64,109,492,3.16,4.56,1,Moderate,High,Medium,95.19999999999999
-92,76,17,228,7.29,2.26,0,Moderate,Low,High,80.6
-106,69,85,69,3.12,1.13,1,Poor,High,Medium,70.69999999999999
-76,67,8,559,0.62,0.81,0,Moderate,Low,Medium,57.7
-56,21,16,230,3.8,2.0,0,Good,Low,Low,45.2
